"","datetime","pm10","pm2p5"
"2977",2022-04-08 22:45:00,3.19406,5.24118
"2978",2022-04-08 22:50:00,1.97339,7.10567
"2979",2022-04-08 22:55:00,0.448873,5.60762
"2980",2022-04-08 23:00:00,2.22007,1.70969
"2981",2022-04-08 23:05:00,4.1214,2.63621
"2982",2022-04-08 23:10:00,0.609715,4.49941
"2983",2022-04-08 23:15:00,-4.04517,5.02288
"2984",2022-04-08 23:20:00,-5.04682,3.78649
"2985",2022-04-08 23:25:00,-5.5271,1.39242
"2986",2022-04-08 23:30:00,-1.37678,2.33672
"2987",2022-04-08 23:35:00,-1.49397,2.68392
"2988",2022-04-08 23:40:00,-2.47475,3.7801
"2989",2022-04-08 23:45:00,-2.43151,2.20334
"2990",2022-04-08 23:50:00,0.448942,1.8931
"2991",2022-04-08 23:55:00,3.48482,-0.293506
"2992",2022-04-09 00:00:00,2.80295,-1.62459
"2993",2022-04-09 00:05:00,3.06367,-2.18968
"2994",2022-04-09 00:10:00,3.06367,-2.18968
"2995",2022-04-09 00:15:00,3.06367,-2.1897
"2996",2022-04-09 00:20:00,1.84878,-4.00447
"2997",2022-04-09 00:25:00,-2.89662,-5.47008
"2998",2022-04-09 00:30:00,-5.15007,-2.90376
"2999",2022-04-09 00:35:00,-7.47319,-3.80612
"3000",2022-04-09 00:40:00,-8.41612,-3.50555
"3001",2022-04-09 00:45:00,-3.68618,-2.61132
"3002",2022-04-09 00:50:00,-3.93843,-0.593598
"3003",2022-04-09 00:55:00,-2.64785,0.0150926
"3004",2022-04-09 01:00:00,-0.749316,2.06396
"3005",2022-04-09 01:05:00,-2.07791,-1.33523
"3006",2022-04-09 01:10:00,-2.71082,-1.20847
"3007",2022-04-09 01:15:00,-1.85203,-1.6361
"3008",2022-04-09 01:20:00,-0.222388,-1.93225
"3009",2022-04-09 01:25:00,1.23069,1.08646
"3010",2022-04-09 01:30:00,2.87133,3.3129
"3011",2022-04-09 01:35:00,3.24897,2.792
"3012",2022-04-09 01:40:00,5.95633,-0.501906
"3013",2022-04-09 01:45:00,5.14781,-3.89598
"3014",2022-04-09 01:50:00,5.44463,-5.17083
"3015",2022-04-09 01:55:00,4.15639,-2.63896
"3016",2022-04-09 02:00:00,3.08883,-0.0985368
"3017",2022-04-09 02:05:00,3.47946,1.76455
"3018",2022-04-09 02:10:00,1.94442,3.39779
"3019",2022-04-09 02:15:00,2.98753,3.12842
"3020",2022-04-09 02:20:00,3.9942,3.35757
"3021",2022-04-09 02:25:00,4.00408,5.74354
"3022",2022-04-09 02:30:00,5.2175,5.68279
"3023",2022-04-09 02:35:00,1.41986,5.12017
"3024",2022-04-09 02:40:00,0.300297,2.63022
"3025",2022-04-09 02:45:00,1.62657,5.1256
